Index;m_in;m_out;Direction;Surf_Dir;Surf_Dip;Type ;Structural ;F_Az;F_Dip;F_Quadramt;F_Pitch ;F_F;Q;Filling;Aperture_txt;Ap_min;F_Ap;Ap_max;Extent_Raw;Ext_min;Ext_max;Hmin;F_H;Hmax;Lmin;F_L;Lmax;Rock_Type;Comments;Outcrop Name;Out_Code;Outcrop Zone
197;0;0;N;30;90;fracture;N;280;15;N;;F6;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
198;0;0;N;30;90;fracture;N;0;10;W;;F5;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
199;0;0;N;30;90;fracture;N;175;10;W;;F5;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
200;0;0;N;30;90;fracture;N;20;60;E;;F3;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
201;0;0;N;30;90;fracture;N;15;60;E;;F3;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
202;0;0;N;30;90;fracture;N;150;60;E;;F5;1;open;;0.05;0.1;0.15;;1;3;1;2;3;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
203;0;0;N;30;90;fracture;N;270;20;N;;F6;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
204;0;0;N;30;90;fracture;N;150;60;SW;;F5;1;open;;0.05;0.1;0.15;;1;3;1;2;3;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
205;0;0;N;30;90;fracture;N;140;60;SW;;F2;1;open;;0.05;0.1;0.15;;1;3;1;2;3;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_MainWall
206;0;0;N;105;0;fracture;N;130;18;NW;;F2;1;open;;0.05;0.1;0.15;;5;10;0;0;0;5;7.5;10;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_UpperWall+Pavement
207;0;0;N;105;0;fracture;N;40;60;NW;;F3;1;open;;0.05;0.1;0.15;;4;10;0;0;0;4;7;10;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_UpperWall+Pavement
208;0;0;N;105;0;fracture;N;150;70;W;;F5;1;open;;0.05;0.1;0.15;;1;3;0;0;0;1;2;3;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_UpperWall+Pavement
209;0;0;N;105;0;fracture;N;110;80;S;;F4;1;open;;0.05;0.1;0.15;;5;10;0;0;0;5;7.5;10;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_UpperWall+Pavement
210;0;0;N;105;0;fracture;N;110;75;SW;;F4;1;open;;0.05;0.1;0.15;;5;10;0;0;0;5;7.5;10;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_UpperWall+Pavement
211;0;0;N;22;90;fracture;N;20;70;NW;;F3;1;open;;0.05;0.1;0.15;;0.5;2;0.5;1.25;2;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_HyperSpWall_(Corner)
212;0;0;N;22;90;fracture;N;125;80;S;;F2;1;open;;0.05;0.1;0.15;;2;5;2;3.5;5;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_HyperSpWall_(Corner)
213;0;0;N;22;90;fracture;N;130;40;SW;;F2;1;Stylotite;;0.05;0.1;0.15;;0.5;2;0.5;1.25;2;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_HyperSpWall_(Corner)
214;0;0;N;22;90;fracture;N;40;85;NW;;F3;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_HyperSpWall_(Corner)
215;0;0;N;22;90;fracture;N;60;30;E;;F1;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Pueblo Nuevo;nan;PNO_HyperSpWall_(Corner)
216;0;5;N;285;90;Dyke;N;40;75;SE;;F3;1;open;;0.05;0.1;0.15;;8;8;8;8;8;0;0;0;Marble;;Tatatila;TAT;Dyke
217;0;5;N;285;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
218;0;5;N;285;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
219;0;5;N;285;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
220;0;5;N;285;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
221;5;6;N;285;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
222;6;8;N;285;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
223;6;8;N;285;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
224;6;8;N;285;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
225;6;8;N;285;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
226;6;8;N;285;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
227;8;10;N;285;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
228;10;17;N;285;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
229;10;17;N;285;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
230;10;17;N;285;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
231;10;17;N;285;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
232;10;17;N;285;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
233;17;19;N;285;90;fracture;N;20;70;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
234;19;23;N;285;90;fracture;N;20;70;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
235;19;23;N;285;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
236;19;23;N;285;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
237;19;23;N;285;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
238;19;23;N;285;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
239;23;24;N;285;90;fracture;N;20;70;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
240;24;25;N;285;90;fracture;N;70;75;N;;F1;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
241;25;28;N;285;90;fracture;N;10;70;E;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
242;25;28;N;285;90;fracture;N;170;50;E;;F5;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
243;25;28;N;285;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
244;25;28;N;285;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
245;25;28;N;285;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
246;25;28;N;285;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;TAT;Main
247;28;29;N;285;90;fracture;N;35;70;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
248;29;30;N;285;90;fracture;N;35;70;SE;;F3;1;open;;0.05;0.1;0.15;;13;13;13;13;13;0;0;0;Marble;;Tatatila;TAT;fracture
249;0;0;N;0;90;Dyke;N;40;75;SE;;F3;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
250;0;0;N;0;90;Dyke;N;60;70;SE;;F1;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
251;0;0;N;0;90;fracture;N;110;15;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
252;0;0;N;0;90;fracture;N;110;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
253;0;0;N;0;90;fracture;N;110;25;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
254;0;0;N;0;90;fracture;N;95;20;N;;F6;1;Main fluid flow;;0.1;0.55;1;;10;30;10;20;30;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
255;0;0;N;0;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
256;0;0;N;0;90;fracture;N;35;80;SE;;F3;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
257;0;0;N;0;90;fracture;N;20;70;SE;;F3;1;open;;0.05;0.1;0.15;;1;2;1;1.5;2;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
258;0;0;N;0;90;fracture;N;70;75;N;;F1;1;open;;0.05;0.1;0.15;;1;2;1;1.5;2;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
259;0;0;N;0;90;fracture;N;10;70;E;;F3;1;open;;0.05;0.1;0.15;;1;2;1;1.5;2;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
260;0;0;N;0;90;fracture;N;170;50;E;;F5;1;open;;0.05;0.1;0.15;;2;5;2;3.5;5;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
261;0;0;N;0;90;fracture;N;35;70;SE;;F3;1;open;;0.05;0.1;0.15;;5;10;5;7.5;10;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Main
262;0;0;N;0;90;Fault;N;70;80;NW;;F1;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
263;0;0;N;0;90;Fault;N;75;80;NW;;F1;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
264;0;0;N;0;90;Fault;N;70;60;NW;;F1;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
265;0;0;N;0;90;Fault;N;20;80;W;;F3;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
266;0;0;N;0;90;Fault;N;5;80;W;;F5;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
267;0;0;N;0;90;Fault;N;120;60;NW;;F2;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
268;0;0;N;0;90;Fault;N;90;80;S;;F4;1;;;0.05;0.1;0.15;;;;0;0;0;0;0;0;Marble;BatL Interpretation;Tatatila;nan;Big Dyke
269;0;0;N;0;90;fracture;N;150;20;E;;F5;1;Stylolite / open;;0.05;0.1;0.15;;10;20;10;15;20;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
270;0;0;N;0;90;fracture;N;145;20;E;;F2;1;Stylolite / open;;0.05;0.1;0.15;;10;20;10;15;20;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
271;0;0;N;0;90;fracture;N;140;62;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
272;0;0;N;0;90;fracture;N;140;68;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
273;0;0;N;0;90;fracture;N;140;30;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
274;0;0;N;0;90;fracture;N;140;40;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
275;0;0;N;0;90;fracture;N;140;50;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
276;0;0;N;0;90;fracture;N;140;60;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
277;0;0;N;0;90;fracture;N;140;70;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
278;0;0;N;0;90;fracture;N;140;80;W;;F2;1;open;;0.05;0.1;0.15;;2;3;2;2.5;3;0;0;0;Marble;BatL Interpretation;Tatatila;nan;SmallQ
279;0;4;N;18;70;Fracture;N;85;62;N;;F7;18;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
280;0;4;N;18;70;Fracture;N;170;40;W;;F5;10;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
281;0;4;N;18;70;Fracture;N;160;20;W;;F5;10;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
282;0;4;N;18;70;Fracture;N;60;30;SE;;F1;4;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;RIN;Rinco-FG-Scanline
283;4;11;N;18;70;Fracture;N;130;85;SW;;F2;10;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
284;4;11;N;18;70;Fracture;N;120;86;SW;;F2;10;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
285;4;11;N;18;70;Fracture;N;140;84;SW;;F2;11;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
286;4;11;N;18;70;Fracture;N;70;90;N;;F1;17;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
287;4;11;N;18;70;Fracture;N;68;87;S;;F1;18;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
288;4;11;N;18;70;Fracture;N;72;87;N;;F1;17;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
289;4;11;N;18;70;Fracture;N;100;85;S;;F4;30;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
290;4;11;N;18;70;Fracture;N;110;85;S;;F4;30;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;;Rinconada;RIN;Rinco-FG-Scanline
291;4;11;N;18;70;Fracture;N;60;30;SE;;F1;5;;;0.05;0.1;0.15;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;RIN;Rinco-FG-Scanline
292;0;0;N;90;75;Fracture;N;160;50;W;;F5;10;;;0;0;0;;2;10;1.93;5.8;9.66;0.52;1.55;2.59;Limestone;BatL Interpretation;Rinconada;nan;MAIN
293;0;0;N;90;75;Fracture;N;115;50;N;;F4;10;;;0;0;0;;2;10;1.93;5.8;9.66;0.52;1.55;2.59;Limestone;BatL Interpretation;Rinconada;nan;MAIN
294;0;0;N;90;75;Fracture;N;150;70;W;;F5;10;;;0;0;0;;2;10;1.93;5.8;9.66;0.52;1.55;2.59;Limestone;BatL Interpretation;Rinconada;nan;MAIN
295;0;0;N;90;75;Fracture;N;70;60;NW;;F1;10;;;0;0;0;;2;10;1.93;5.8;9.66;0.52;1.55;2.59;Limestone;BatL Interpretation;Rinconada;nan;MAIN
296;0;0;N;90;75;Fracture;N;70;60;SE;;F1;10;;;0;0;0;;2;10;1.93;5.8;9.66;0.52;1.55;2.59;Limestone;BatL Interpretation;Rinconada;nan;MAIN
297;0;0;N;18;70;Fracture;N;80;70;N;;F7;1;;;0;0;0;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;nan;SL
298;0;0;N;18;70;Fracture;N;160;20;W;;F5;1;;;0;0;0;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;nan;SL
299;0;0;N;18;70;Fracture;N;60;30;SE;;F1;1;;;0;0;0;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;nan;SL
300;0;0;N;20;70;Fracture;N;130;85;W;;F2;1;;;0;0;0;;1;5;0.94;2.82;4.7;0.34;1.03;1.71;Limestone;BatL Interpretation;Rinconada;nan;SL Extendenorthwards
301;0;2;N;60;55;Karst;N;220;35;N;;F3;1;Boulders;;0;0;0;1;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;;San Antonio T.;SAT;
302;2;3;N;60;55;Fracture I;N;310;85;E;;F2;3;Calcite;;0;0;0;0.4;0.4;0.4;0.33;0.33;0.33;0.23;0.23;0.23;Limestone;;San Antonio T.;SAT;
303;2;3;N;60;55;Fracture II;N;205;80;W;;F3;2;Oxydation;PO;0.05;0.08;0.1;1;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;;San Antonio T.;SAT;
304;2;3;N;60;55;Fracture IV;N;90;70;S;;F4;1;;< mm - open;0.05;0.08;0.1;1;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;;San Antonio T.;SAT;
305;2;3;N;60;55;Fracture I;N;310;80;E;;F2;1;Calcite;;0;0;0;0.4;0.4;0.4;0.33;0.33;0.33;0.23;0.23;0.23;Limestone;;San Antonio T.;SAT;
306;3;4;N;60;55;Fracture IV;N;90;70;S;;F4;1;;;0;0;0;1;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;;San Antonio T.;SAT;
307;3;4;N;60;55;Fracture I;N;310;80;E;;F2;1;Calcite;;0;0;0;0.4;0.4;0.4;0.33;0.33;0.33;0.23;0.23;0.23;Limestone;;San Antonio T.;SAT;
308;4;7;N;60;55;Karst;N;210;75;N;;F3;1;Conglomerate;;0;0;0;0;0;0;0;0;0;0;0;0;Limestone;;San Antonio T.;SAT;
309;4;7;N;60;55;Fracture II;N;210;75;N;;F3;2;Calcite;;0;0;0;1;1;1;0.82;0.82;0.82;0.57;0.57;0.57;Limestone;;San Antonio T.;SAT;
310;7;8;N;40;55;Fracture V;N;20;80;E;;F3;2;Karst filling;;0;0;0;10;10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;;San Antonio T.;SAT;
311;7;8;N;40;55;Fracture I;N;295;60;E;;F4;4;Calcite;;0;0;0;0.4;0.4;0.4;0.33;0.33;0.33;0.23;0.23;0.23;Limestone;;San Antonio T.;SAT;
312;9;10;N;40;55;Fracture V ;N;30;80;W;;F3;2;Karst filling;;0;0;0;10;10;10;8.19;8.19;8.19;5.74;5.74;5.74;Limestone;;San Antonio T.;SAT;
313;9;10;N;40;55;Fracture;N;290;80;SE;;F4;3;Calcite;;0;0;0;0.5;0.5;0.5;0.41;0.41;0.41;0.29;0.29;0.29;Limestone;;San Antonio T.;SAT;
314;10;11;N;40;50;Karst;N;85;85;S;;F7;1;Karst filling;0.3;0.3;0.3;0.3;1;1;1;0.77;0.77;0.77;0.64;0.64;0.64;Limestone;;San Antonio T.;SAT;
315;10;11;N;40;50;Fracture;N;320;45;E;;F2;4;Calcite;PO;0.05;0.08;0.1;[0.4 - 2];0.4;2;0.31;0.92;1.53;0.26;0.77;1.29;Limestone;;San Antonio T.;SAT;
316;12;13;N;40;50;Fracture;N;105;82;S;;F4;2;Brown Yellowish Calcite;;0;0;0;5;5;5;3.83;3.83;3.83;3.21;3.21;3.21;Limestone;;San Antonio T.;SAT;
317;12;13;N;40;50;Fracture;N;312;50;SE;;F2;1;;;0;0;0;0.2;0.2;0.2;0.15;0.15;0.15;0.13;0.13;0.13;Limestone;;San Antonio T.;SAT;
318;13;14;N;40;50;Fracture;N;85;80;S;;F7;2;Brown Calcite;;0;0;0;5;5;5;3.83;3.83;3.83;3.21;3.21;3.21;Limestone;;San Antonio T.;SAT;
319;13;14;N;40;50;Fracture;N;206;70;SW;;F3;4;;;0;0;0;1;1;1;0.77;0.77;0.77;0.64;0.64;0.64;Limestone;;San Antonio T.;SAT;
320;13;14;N;40;50;Fault;N;30;80;W;/20E;F3;1;Calcite striations;;0;0;0;1;1;1;0.77;0.77;0.77;0.64;0.64;0.64;Limestone;;San Antonio T.;SAT;
321;13;14;N;40;50;Fault;N;60;80;S;/15E;F1;2;Calcite striations;;0;0;0;>10;10;25;7.66;13.41;19.15;6.43;11.25;16.07;Limestone;;San Antonio T.;SAT;
322;14;15;N;30;50;Fracture;N;205;70;SW;;F3;6;Brown Calcite;1cm;1;1;1;>10;10;25;7.66;13.41;19.15;6.43;11.25;16.07;Limestone;;San Antonio T.;SAT;
323;14;15;N;30;50;Fracture;N;82;78;S;;F7;4;Brown Calcite;< mm to 1cm;0.05;0.53;1;[2-3];2;3;1.53;1.92;2.3;1.29;1.61;1.93;Limestone;;San Antonio T.;SAT;
324;15;16;N;30;50;Fracture;N;80;80;S;;F7;6;Brown Calcite + Breccia;;0;0;0;10;10;10;7.66;7.66;7.66;6.43;6.43;6.43;Limestone;;San Antonio T.;SAT;
325;15;16;N;30;50;Fracture;N;64;86;N;;F1;5;Karst filling;;0;0;0;0.5;0.5;0.5;0.38;0.38;0.38;0.32;0.32;0.32;Limestone;;San Antonio T.;SAT;
326;18;19;N;30;50;Fracture;N;320;85;S;;F2;4;Brown Calcite;< mm;0.05;0.05;0.05;0.5;0.5;0.5;0.38;0.38;0.38;0.32;0.32;0.32;Limestone;;San Antonio T.;SAT;
327;18;19;N;30;50;Fracture;N;64;86;NE;;F1;5;Brown Calcite;0 - mm;0;0.03;0.05;< 10;1;10;0.77;4.21;7.66;0.64;3.54;6.43;Limestone;;San Antonio T.;SAT;
328;19;20;N;20;50;Fracture;N;2;80;E;;F5;3;White Calcite;0 - mm;0;0.03;0.05;5;5;5;3.83;3.83;3.83;3.21;3.21;3.21;Limestone;;San Antonio T.;SAT;
329;19;20;N;20;50;Fracture;N;320;48;NE;;F2;8;White Calcite;0.5 - PO;0.05;0.28;0.5;[1-10];1;10;0.77;4.21;7.66;0.64;3.54;6.43;Limestone;;San Antonio T.;SAT;
330;20;21;N;20;60;Fracture;N;355;78;E;;F5;4;"Brown Calcite; Harshy";< mm;0.05;0.05;0.05;1;1;1;0.87;0.87;0.87;0.5;0.5;0.5;Limestone;;San Antonio T.;SAT;
331;20;21;N;20;60;Fracture;N;160;75;W;;F5;1;Brown Calcite;Open - 1mm;0.1;0.1;0.1;0.4;0.4;0.4;0.35;0.35;0.35;0.2;0.2;0.2;Limestone;;San Antonio T.;SAT;
332;20;21;N;20;60;Fracture;N;285;48;N;;F4;1;;;0;0;0;2;2;2;1.73;1.73;1.73;1;1;1;Limestone;;San Antonio T.;SAT;
333;21;22;N;20;60;Fracture;N;315;60;E;;F2;5;White Calcite;PO - 1mm;0.05;0.08;0.1;2;2;2;1.73;1.73;1.73;1;1;1;Limestone;;San Antonio T.;SAT;
334;21;22;N;20;60;Fracture;N;210;68;W;;F3;8;Brown Wite Calcite;PO;0.05;0.08;0.1;0.2;0.2;0.2;0.17;0.17;0.17;0.1;0.1;0.1;Limestone;;San Antonio T.;SAT;
335;22;23;N;20;60;Fracture;N;320;55;NE;;F2;6;White Calcite;<5mm PO;0.05;0.28;0.5;>10;10;25;8.66;15.16;21.65;5;8.75;12.5;Limestone;;San Antonio T.;SAT;
336;23;24;N;20;60;Fault;N;330;40;NE;/15S;F5;5;White Calcite;[0.4 - 0.5]cm;0.4;0.45;0.5;>10;10;25;8.66;15.16;21.65;5;8.75;12.5;Limestone;;San Antonio T.;SAT;
337;23;24;N;20;60;Fracture;N;20;88;E;;F3;1;Brown Calcite;;0;0;0;0.4;0.4;0.4;0.35;0.35;0.35;0.2;0.2;0.2;Limestone;;San Antonio T.;SAT;
338;23;24;N;20;60;Fracture;N;40;85;NE;;F3;1;Brown Calcite;;0;0;0;0.5;0.5;0.5;0.43;0.43;0.43;0.25;0.25;0.25;Limestone;;San Antonio T.;SAT;
339;24;25;N;20;60;Fracture;N;80;85;S;;F7;1;Brown Calcite;< mm;0.05;0.05;0.05;[3 - 20];3;20;2.6;9.96;17.32;1.5;5.75;10;Limestone;;San Antonio T.;SAT;
